id,name,cost
6279475,NDLE EPIDRUAL TUOHY 17GX6,6.15
6271939,WATER DISTILLED NEBR GA,2.61
6279724,SYR NDLE INS SFTY 0.5ML29GX0.5,0.34
6272950,TRAY DRN CATH NON-VALVED THORA-PARA 5FR,35.79
6262649,BG PRSS INFUSER 1000ML BX12,7.95
6273342,SYR LS PERFIX PLST 8ML,1.52
6284049,ATTACH BIPAP O2 ENRICHMENT,2.26
6269584,COLLT CORD BLD UMBILICUP,3.96
6269142,BRUSH SCRUB E-Z PREOP PCMX 3,0.59
6274689,NDLE STIMUPLEX 360 20GX6,13.14
6270123,CATH DRN LK PIGT 12FR 20CM,60
6270124,CATH DRN LK PIGT 10FR 20CM,60
6276431,TRAY EPIDURAL LLOPEN5ML17GX3.5,21.34
6276429,DRSG TEGADERM +PAD 3.5X9,1.66
6274688,NDLE STIMUPLEX 360 22GX3-1/8,11.35
6270665,INTR POSI STICK 21G 38CM,121.07
6276432,TRAY EPIDURAL TUOHY 18GX3.5,14.91
6318963,HOOK AMNIOT MEMB AMNIHOOK STER,3.3
6315586,SANTZR HAND GEL PURELL 4OZ,0.78
6314086,ENEMA MINERAL OIL MEDLINE4.5OZ,0.01
6316388,TRAY CATH ADD-A-CATH OPEN 1000,4.08
6223416,*CIP* PAPER EKG NO GRID 2X100FT,1.63
6223420,*CIP* PAPER ECG CHART THML 2.25X82FT,1.3
6223423,*CIP* PAPER EKGLIFEPAK12 4-3/16X73FT,3.56
6238196,KT SUT REMOV ST SCISSORS,0.86
6238569,EXCHANGER HEAT MOISTURE W PORT,0.95
6208070,CUP COLD PAPER SYMPY 5OZ,7.61
6240798,DRSG TUBLR MTSPANDAGE SZ9 25YD,12.61
6240744,CLAMP TB PLST A-CLAMP DISP 4IN,0.82
6240726,CANN CPAP NASAL SM,27.56
6240779,DEV STATLOCK UNIV 10-12FR,9.41
6240727,CANN CPAP NASAL XS,20.75
6240795,DRSG TUBLR SPANDAGE MT 10X25YD,13.97
6241065,TIP IRG OTOCLEAR SAFE,1.76
6240894,NEB EZFLOW CONTINUOUSPUR,29.21
6240863,LABEL IV SET-72 HOURS ONLY,9.19
